Path;File Name;Masternumber;Size;Suffix;Language;Language;Filetype;Articlenumber;Alte Artikelnummern;Category 1;Category 2;Category 3;;DOP/ProPer
C:\Tino\PDF\FTP DL\100723-042-file-4-1-pt-br.pdf;100723-042-file-4-1-pt-br.pdf;100723;042;-4-1;pt-br;pt-br;.pdf;100723-042;10072304220;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100723-042-file-4-1-sv.pdf;100723-042-file-4-1-sv.pdf;100723;042;-4-1;sv;sv;.pdf;100723-042;10072304220;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certifikat;;ProPer
C:\Tino\PDF\FTP DL\100746-00-file-4-1.pdf;100746-00-file-4-1.pdf;100746;;-4-1;;en-gb;.pdf;100746-00;10074600000;MOD 0740/6 Glass adapters zamak;Certificate;Certificate;;ProPer
C:\Tino\PDF\FTP DL\100746-00-file-4-1-de.pdf;100746-00-file-4-1-de.pdf;100746;;-4-1;de;de;.pdf;100746-00;10074600000;MOD 0740/6 Glass adapters zamak;Certificate;Zertifikate;;ProPer
C:\Tino\PDF\FTP DL\100746-00-file-4-1-en-gb.pdf;100746-00-file-4-1-en-gb.pdf;100746;;-4-1;en-gb;en-gb;.pdf;100746-00;10074600000;MOD 0740/6 Glass adapters zamak;Certificate;Certificate;;ProPer
C:\Tino\PDF\FTP DL\100746-00-file-4-1-es.pdf;100746-00-file-4-1-es.pdf;100746;;-4-1;es;es;.pdf;100746-00;10074600000;MOD 0740/6 Glass adapters zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100746-00-file-4-1-es-sv.pdf;100746-00-file-4-1-es-sv.pdf;100746;;-4-1;es-sv;es;.pdf;100746-00;10074600000;MOD 0740/6 Glass adapters zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100746-00-file-4-1-fi.pdf;100746-00-file-4-1-fi.pdf;100746;;-4-1;fi;fi;.pdf;100746-00;10074600000;MOD 0740/6 Glass adapters zamak;Certificate;Sertifikaatit;;ProPer
C:\Tino\PDF\FTP DL\100746-00-file-4-1-fr.pdf;100746-00-file-4-1-fr.pdf;100746;;-4-1;fr;fr;.pdf;100746-00;10074600000;MOD 0740/6 Glass adapters zamak;Certificate;Certificats;;ProPer
C:\Tino\PDF\FTP DL\100746-00-file-4-1-it.pdf;100746-00-file-4-1-it.pdf;100746;;-4-1;it;it;.pdf;100746-00;10074600000;MOD 0740/6 Glass adapters zamak;Certificate;Certificati;;ProPer
