Path;File Name;Masternumber;Size;Suffix;Language;Language;Filetype;Articlenumber;Alte Artikelnummern;Category 1;Category 2;Category 3;;DOP/ProPer
C:\Tino\PDF\FTP DL\100519-file-4-1-pt.pdf;100519-file-4-1-pt.pdf;100519;;-4-1;pt;pt;.pdf;100519;10051906519;MOD 0509/19 cover caps;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100519-file-4-1-pt-br.pdf;100519-file-4-1-pt-br.pdf;100519;;-4-1;pt-br;pt-br;.pdf;100519;10051906519;MOD 0509/19 cover caps;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100519-file-4-1-sv.pdf;100519-file-4-1-sv.pdf;100519;;-4-1;sv;sv;.pdf;100519;10051906519;MOD 0509/19 cover caps;Certificate;Certifikat;;ProPer
C:\Tino\PDF\FTP DL\100723-000-file-4-1.pdf;100723-000-file-4-1.pdf;100723;000;-4-1;;en-gb;.pdf;100723-000;10072300020;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificate;;ProPer
C:\Tino\PDF\FTP DL\100723-000-file-4-1-de.pdf;100723-000-file-4-1-de.pdf;100723;000;-4-1;de;de;.pdf;100723-000;10072300020;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Zertifikate;;ProPer
C:\Tino\PDF\FTP DL\100723-000-file-4-1-en-gb.pdf;100723-000-file-4-1-en-gb.pdf;100723;000;-4-1;en-gb;en-gb;.pdf;100723-000;10072300020;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificate;;ProPer
C:\Tino\PDF\FTP DL\100723-000-file-4-1-es.pdf;100723-000-file-4-1-es.pdf;100723;000;-4-1;es;es;.pdf;100723-000;10072300020;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100723-000-file-4-1-es-sv.pdf;100723-000-file-4-1-es-sv.pdf;100723;000;-4-1;es-sv;es;.pdf;100723-000;10072300020;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100723-000-file-4-1-fi.pdf;100723-000-file-4-1-fi.pdf;100723;000;-4-1;fi;fi;.pdf;100723-000;10072300020;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Sertifikaatit;;ProPer
C:\Tino\PDF\FTP DL\100723-000-file-4-1-fr.pdf;100723-000-file-4-1-fr.pdf;100723;000;-4-1;fr;fr;.pdf;100723-000;10072300020;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificats;;ProPer
C:\Tino\PDF\FTP DL\100723-000-file-4-1-it.pdf;100723-000-file-4-1-it.pdf;100723;000;-4-1;it;it;.pdf;100723-000;10072300020;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificati;;ProPer
C:\Tino\PDF\FTP DL\100723-000-file-4-1-nl.pdf;100723-000-file-4-1-nl.pdf;100723;000;-4-1;nl;nl;.pdf;100723-000;10072300020;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificaten;;ProPer
C:\Tino\PDF\FTP DL\100723-000-file-4-1-nn-no.pdf;100723-000-file-4-1-nn-no.pdf;100723;000;-4-1;nn-no;nb-no;.pdf;100723-000;10072300020;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Sertifikater;;ProPer
C:\Tino\PDF\FTP DL\100723-000-file-4-1-pl.pdf;100723-000-file-4-1-pl.pdf;100723;000;-4-1;pl;pl;.pdf;100723-000;10072300020;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certyfikaty;;ProPer
C:\Tino\PDF\FTP DL\100723-000-file-4-1-pt.pdf;100723-000-file-4-1-pt.pdf;100723;000;-4-1;pt;pt;.pdf;100723-000;10072300020;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100723-000-file-4-1-pt-br.pdf;100723-000-file-4-1-pt-br.pdf;100723;000;-4-1;pt-br;pt-br;.pdf;100723-000;10072300020;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100723-000-file-4-1-sv.pdf;100723-000-file-4-1-sv.pdf;100723;000;-4-1;sv;sv;.pdf;100723-000;10072300020;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certifikat;;ProPer
C:\Tino\PDF\FTP DL\100723-042-file-4-1.pdf;100723-042-file-4-1.pdf;100723;042;-4-1;;en-gb;.pdf;100723-042;10072304220;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificate;;ProPer
C:\Tino\PDF\FTP DL\100723-042-file-4-1-de.pdf;100723-042-file-4-1-de.pdf;100723;042;-4-1;de;de;.pdf;100723-042;10072304220;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Zertifikate;;ProPer
C:\Tino\PDF\FTP DL\100723-042-file-4-1-en-gb.pdf;100723-042-file-4-1-en-gb.pdf;100723;042;-4-1;en-gb;en-gb;.pdf;100723-042;10072304220;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificate;;ProPer
C:\Tino\PDF\FTP DL\100723-042-file-4-1-es.pdf;100723-042-file-4-1-es.pdf;100723;042;-4-1;es;es;.pdf;100723-042;10072304220;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100723-042-file-4-1-es-sv.pdf;100723-042-file-4-1-es-sv.pdf;100723;042;-4-1;es-sv;es;.pdf;100723-042;10072304220;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100723-042-file-4-1-fi.pdf;100723-042-file-4-1-fi.pdf;100723;042;-4-1;fi;fi;.pdf;100723-042;10072304220;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Sertifikaatit;;ProPer
C:\Tino\PDF\FTP DL\100723-042-file-4-1-fr.pdf;100723-042-file-4-1-fr.pdf;100723;042;-4-1;fr;fr;.pdf;100723-042;10072304220;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificats;;ProPer
C:\Tino\PDF\FTP DL\100723-042-file-4-1-it.pdf;100723-042-file-4-1-it.pdf;100723;042;-4-1;it;it;.pdf;100723-042;10072304220;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificati;;ProPer
C:\Tino\PDF\FTP DL\100723-042-file-4-1-nl.pdf;100723-042-file-4-1-nl.pdf;100723;042;-4-1;nl;nl;.pdf;100723-042;10072304220;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificaten;;ProPer
C:\Tino\PDF\FTP DL\100723-042-file-4-1-nn-no.pdf;100723-042-file-4-1-nn-no.pdf;100723;042;-4-1;nn-no;nb-no;.pdf;100723-042;10072304220;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Sertifikater;;ProPer
C:\Tino\PDF\FTP DL\100723-042-file-4-1-pl.pdf;100723-042-file-4-1-pl.pdf;100723;042;-4-1;pl;pl;.pdf;100723-042;10072304220;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certyfikaty;;ProPer
C:\Tino\PDF\FTP DL\100723-042-file-4-1-pt.pdf;100723-042-file-4-1-pt.pdf;100723;042;-4-1;pt;pt;.pdf;100723-042;10072304220;MOD 44/46/51/52 Adapter Glass infill holders zamak;Certificate;Certificados;;ProPer
